YEAR,IMO,NAME,TYPE,GT,LDT,BUILT,AGE,LAST_FLAG,PLACE,COUNTRY
2016,9138953,New Katerina,Bulk Carrier,85590,,1997,19,Panama,Gadani,Pakistan
2016,9121924,Kythnos Warrior,Bulk Carrier,37623,,1996,20,Panama,Chittagong,Bangladesh
2016,8002781,Zen Vibe,Other,3720,,1981,35,Panama,Aliaga,Turkey
2016,8618786,Alba,Tanker,24653,,1987,29,Panama,Gadani,Pakistan
2016,8122464,Adela,Tanker,12616,,1982,34,Panama,Gadani,Pakistan
2016,8313063,Green Arrow,Bulk Carrier,15612,,1985,31,Sierra Leone,Aliaga,Turkey
2016,8715015,Annoula K.,Bulk Carrier,36781,,1989,27,Sierra Leone,Gadani,Pakistan
2016,9108178,Box 1,Container Ship,5344,,1996,20,St. Kitts-Nevis,Gadani,Pakistan
2016,9108166,Box 2,Container Ship,66046,,1995,21,St. Kitts-Nevis,Gadani,Pakistan
2016,9120968,Aqua,Bulk Carrier,85315,,1997,19,St. Kitts-Nevis,Chittagong,Bangladesh
2016,8906731,Kar,Container Ship,37209,,1991,25,St. Kitts-Nevis,Chittagong,Bangladesh
2016,9235907,Jps Debussy- I,Container Ship,73157,,2001,15,St. Kitts-Nevis,Gadani,Pakistan
2016,9110652,Legend,Bulk Carrier,81151,,1996,20,St. Kitts-Nevis,Chittagong,Bangladesh
2016,6610649,Gelos,Other,1295,,1966,50,St. Kitts-Nevis,Aliaga,Turkey
2016,8301230,Arbalist,Container Ship,6788,,1983,33,St. Vincent & Grenadines,Aliaga,Turkey
2016,7519921,Mustafa Bey,Container Ship,3422,,1976,40,Tanzania,Alang,India
2016,9252096,Bangsa,Container Ship,52701,,2006,10,Togo,Alang,India
2016,7929243,Hao,Bulk Carrier,35824,,1981,35,Comoros,Chittagong,Bangladesh
2016,9165528,Sun,Bulk Carrier,87522,,1999,17,Comoros,Chittagong,Bangladesh
2016,9222948,Radiance,Bulk Carrier,85906,,2001,15,Comoros,Chittagong,Bangladesh
2016,9222950,Exemplar,Bulk Carrier,85906,,2001,15,Comoros,Chittagong,Bangladesh
2016,9187758,Great Loyalty,Bulk Carrier,38426,,1999,17,Hong Kong,Jiangyin,China
2016,9187710,Great Prosperity,Bulk Carrier,38426,,1999,17,Hong Kong,Zhangjiagang,China
2016,9213545,Great Wisdom,Bulk Carrier,38910,,2000,16,Hong Kong,Jiangyin,China
2016,9213557,Great Intelligence,Bulk Carrier,38910,,2000,16,Hong Kong,Zhangjiagang,China
2016,9187746,Great Ambition,Bulk Carrier,38426,,1999,17,Hong Kong,Zhangjiagang,China
2016,9177820,New Amity,Tanker,56311,,1998,18,Liberia,Xinhui,China
2016,9177947,New Alliance,Tanker,56311,,1998,18,Liberia,Xinhui,China
2016,9174816,Sea Success,Bulk Carrier,18093,,1998,18,Liberia,Jiangyin,China
2016,8600179,Marine Reliance,Other,36837,,1987,29,Marshall Islands,Chittagong,Bangladesh
2016,9120035,Silver Master,Bulk Carrier,79855,,1996,20,Marshall Islands,Chittagong,Bangladesh
2016,9231688,Modern Express,Other,33831,,2001,15,Panama,Aliaga,Turkey
2016,9134983,Courage,Bulk Carrier,37745,,1997,19,Panama,Alang,India
2016,8803886,Long Yuan,Bulk Carrier,36986,,1989,27,Panama,Alang,India
2016,9050369,Germ,Bulk Carrier,39012,,1993,23,Panama,Gadani,Pakistan
2016,9156773,Top Wing,Bulk Carrier,26801,,1998,18,Panama,Zhoushan,China
2016,8223347,Ever Glory III,Bulk Carrier,23144,,1983,33,Panama,Chittagong,Bangladesh
2016,8316572,Hua Tai,Bulk Carrier,17836,,1984,32,Panama,Chittagong,Bangladesh
2016,8408014,Splendour,Bulk Carrier,13720,,1984,32,Panama,Alang,India
2016,9107916,Silver Trade,Bulk Carrier,77255,,1996,20,Panama,Chittagong,Bangladesh
2016,9130963,Mekong,Bulk Carrier,36698,,1997,19,Panama,Gadani,Pakistan
2016,8301321,Starford 8,Bulk Carrier,14965,,1984,32,Panama,Chittagong,Bangladesh
2016,8221478,Starford 6,Bulk Carrier,15272,,1983,33,Panama,Chittagong,Bangladesh
2016,9044451,Tuo Fu 1,Bulk Carrier,41889,,1993,23,Panama,Chittagong,Bangladesh
2016,8412467,South Hill 2,Bulk Carrier,14921,,1984,32,Sierra Leone,Jiangyin,China
2016,7810741,Pacific Marlin,Other,1200,,1978,38,Singapore,Alang,India
2016,9111577,Papa,Bulk Carrier,36097,,1995,21,Comoros,Gadani,Pakistan
2016,7626712,Alicorn,Offshore/Supply Vessel,571,,1976,40,Comoros,Gadani,Pakistan
2016,8116867,Apj Akhil,Bulk Carrier,27997,,1989,27,India,Gadani,Pakistan
2016,7502459,Halani 2,Offshore/Supply Vessel,637,,1975,41,India,Alang,India
2016,8211849,Vestfonn,Other,3753,,1983,33,India,Alang,India
2016,7375234,Maratha Deep,Bulk Carrier,21164,,1974,42,India,Alang,India
2016,9106754,Era Majestic,Container Ship,7944,,1995,21,India,Chittagong,Bangladesh
2016,9411458,Era Iris,Other,4422,,2007,9,India,Alang,India
2016,8311766,Samudrika 11,Offshore/Supply Vessel,950,,1986,30,India,Alang,India
2016,7416997,Anweshak,Offshore/Supply Vessel,789,,1974,42,India,Alang,India
2016,9112325,Sanmar Paragon,Bulk Carrier,38560,,1996,20,India,Chittagong,Bangladesh
2016,8219138,Nand Heera,Offshore/Supply Vessel,1313,,1984,32,India,Alang,India
2016,8200474,Chennai Jayam,Bulk Carrier,24681,,1983,33,India,Chittagong,Bangladesh
2016,8511665,Goa,Bulk Carrier,28029,,1998,18,India,Alang,India
2016,9087738,Aarti Prem,Bulk Carrier,35889,,1994,22,Liberia,Gadani,Pakistan
2016,8316429,Bao,Other,17384,,1984,32,Niue,Alang,India
2016,8512607,Cagayan,Container Ship,5954,,1986,30,Niue,Alang,India
2016,7506467,Discoverer,Other,5897,,1977,39,Palau,Alang,India
2016,7724344,Span Asia 17,Container Ship,9754,,1981,35,Palau,Chittagong,Bangladesh
2016,8913588,Prude,Tanker,28223,,1991,25,Palau,Gadani,Pakistan
2016,9124902,The Guide,Bulk Carrier,37846,,1996,20,Panama,Gadani,Pakistan
2016,9052604,The Opener,Bulk Carrier,38267,,1994,22,Panama,Alang,India
2016,9077226,The Creator,Bulk Carrier,36074,,1995,21,Panama,Gadani,Pakistan
2016,9055620,The Forgiver,Bulk Carrier,38267,,1994,22,Panama,Gadani,Pakistan
2016,8406793,Saga G,Container Ship,10097,,1985,31,St. Kitts-Nevis,Chittagong,Bangladesh
2016,8021830,Aces,Tanker,88122,,1982,34,Djibouti,Gadani,Pakistan
