VESSEL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,FLAG,Unnamed: 7,NAME,OWNERSHIP,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,DESTINATION,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
AL DALOW,8115928,Anchor Handling Tug Supply,745,806,1982,Unknown,United Arab Emirates,,Inter Gulf Marine LLC,United Arab Emirates,Inter Gulf Marine LLC,Inter Gulf Marine LLC,United Arab Emirates,Alang,India,2019-09-01 00:00:00,,
MISKI,8912845,General Cargo Ship,3972,2558,1992,Panama,,,Jubba General Trading Co LLC,United Arab Emirates,Jubba General Trading Co LLC,Jubba General Trading Co LLC,United Arab Emirates,Gadani,Pakistan,2019-11-01 00:00:00,,
NAJDIAH,7903299,Products Tanker ,2628,1499,1979,Panama,,,Kanoo Shipping Agencies (Yusuf Bin Ahmed Kanoo & Company),United Arab Emirates,Saudi Arabian Bunkering,Najdiah Shipping Inc,Panama,Alang,India,2019-06-01 00:00:00,,
LAS,8306905,General Cargo Ship,14348,5823,1989,Unknown,Togo,,Las Group of Companies,United Arab Emirates,Las Oil Trading,Las Oil Trading,United Arab Emirates,Gadani,Pakistan,2019-12-01 00:00:00,,
LIMA 2,8002200,Supply Ship (O.R.S.V.),1112,962,1980,St Kitts & Nevis,,,Maroos Shipping Company LLC,United Arab Emirates,Maroos Shipping Co LLC,Lima Shipping Co Ltd,St Vincent & The Grenadines,Gadani,Pakistan,2019-01-01 00:00:00,,
GULF WAVE III,8107892,Platform Supply Ship,765,930,1981,Panama,,,Mumeni A,United Arab Emirates,Mumeni A,Mumeni A,United Arab Emirates,Gadani,Pakistan,2019-05-01 00:00:00,,
GULF WAVE 1,8120052,Offshore Tug/Supply Ship,827,930,1983,Panama,,,Mumeni A,United Arab Emirates,Mumeni A,Mumeni A,United Arab Emirates,Gadani,Pakistan,2019-05-01 00:00:00,,
SEA STAR VI,7621073,Tanker,1321,886,1976,Palau,Panama,,National Ajman Petroleum Co,United Arab Emirates,SK World Marine FZE,SK World Marine FZE,United Arab Emirates,Gadani,Pakistan,2019-03-01 00:00:00,,
OASIS III,8514801,General Cargo Ship,5557,2251,1985,Palau,Panama,,Oasis Global Marine Services,United Arab Emirates,Oasis Global Marine Services,Oasis Global Marine Services,United Arab Emirates,Alang,India,2019-04-01 00:00:00,,
NATALIA 1,7900522,Tanker,3890,2292,1979,Palau,Unknown,,Ocean Petroleum FZCO,United Arab Emirates,Ocean Petroleum FZCO,Natalia Shipping Fleet Inc,Panama,Alang,India,2019-03-01 00:00:00,,
IRIS,9120932,Crude Oil Tanker,53074,16984,1996,Comoros,Panama,Agiri,Qaiwan Group,United Arab Emirates,Pentacontinent DMCC,Agiri Investments Corp,United Arab Emirates,Chittagong,Bangladesh,2019-09-01 00:00:00,,
VIRGINIA-N,8224016,Products Tanker ,1598,1126,1982,Moldova,,,Rashid Al Zary Ships Supply,United Arab Emirates,Rashid Al Zary Ships Supply,Rashid Al Zary Ships Supply,United Arab Emirates,Alang,India,2019-11-01 00:00:00,,
SEA DIAMOND,8754839,"Drilling Rig, jack up",4161,5420,1975,Panama,,Rig 105,Shelf Drilling Holdings Limited,United Arab Emirates,AMS Marine Services LLC,AMS Marine Services LLC,United States Of America,Gadani,Pakistan,2019-05-01 00:00:00,,
DRACO,8750728,"Drilling Rig, jack up",6169,9020,1982,Comoros,Vanuatu,Adriatic X,Shelf Drilling Holdings Ltd,United Arab Emirates,Transocean Offshore Deepwater,Adriatic 10 Ltd,Cayman Islands,Alang,India,2019-04-01 00:00:00,,
COMET,8753419,"Drilling Rig, jack up",5730,8039,1980,Gabon,Vanuatu,,Shelf Drilling Holdings Ltd,United Arab Emirates,Belayim Petroleum Co PETROBEL,Shelf Drilling Egypt Ltd,Egypt,Alang,India,2019-11-01 00:00:00,,
124-,8754841,"Drilling Rig, jack up",4518,6060,1980,Gabon,Vanuatu,Rig 124,Shelf Drilling Holdings Ltd,United Arab Emirates,Shelf Drilling Holdings Ltd,Shelf Drilling Egypt Ltd,Egypt,Alang,India,2019-11-01 00:00:00,,
AADITYA II,7373042,Anchor Handling Tug Supply,704,717,1974,Panama,,,Star Petroleum Co FZC,United Arab Emirates,Star Petroleum Co FZC,Star Petroleum Co FZC,United Arab Emirates,Alang,India,2019-06-01 00:00:00,,
TSC HOMA,8319885,Platform Supply Ship,1133,1365,1984,St Kitts & Nevis,,,Team Shipping Co LLC,United Arab Emirates,Team Shipping Co LLC,Team Shipping Co LLC,United Arab Emirates,Alang,India,2019-12-01 00:00:00,,
OEL TRANSWORLD,9235086,Container Ship (Fully Cellular),40306,16160,2000,Panama,,,Transworld Group,United Arab Emirates,Orient Express Lines Inc,Balaji Shipping Co SA,Panama,Alang,India,2019-06-01 00:00:00,,
IND,8304969,Platform Supply Ship,867,892,1984,Panama,St Vincent & The Grenadines,Hind,Whitesea Shipping & Supply LLC,United Arab Emirates,Whitesea Shipping & Supply LLC,Battista Marine Services Ltd,St Vincent & The Grenadines,Gadani,Pakistan,2019-05-01 00:00:00,,
ATLANTIC EXPLORER,7924255,Research Survey Vessel,1420,,1981,Panama,,,Atlantic Marine & Aviation LLP,United Kingdom,Atlantic Marine & Aviation LLP,Atlantic Explorer Holdings Ltd,Seychelles,Aliaga,Turkey,2019-11-01 00:00:00,,
ATLANTIC SURVEYOR,8841565,Research Survey Vessel,748,,1972,Comoros,Liberia,,Atlantic Marine & Aviation LLP,United Kingdom,Atlantic Marine & Aviation LLP,Atlantic Surveyor Ltd,Liberia,Aliaga,Turkey,2019-12-01 00:00:00,,
PUTFORD TRADER,7407740,Stand-By Safety Pollut'n Cntrl,1329,,1976,United Kingdom,,,Boston Putford Offshore Safety,United Kingdom,Boston Putford Offshore Safety,Boston Putford Offshore Safety,United Kingdom,Grenaa,Denmark,2019-03-01 00:00:00,,
CO 97,8752477,"Drilling Rig, jack up",4249,6058,1980,Palau,Liberia,Ensco 97,ENSCO International Inc,United Kingdom,ENSCO Asia Pacific Pte Ltd,ENSCO Overseas Ltd,Cayman Islands,Alang,India,2019-05-01 00:00:00,,
