BO Country ,Beneficial owner of the ship,Name of ship ,IMO  number,Last flag,Next to last,Date of change,Commercial operator,Registered owner,Destination yard,Beaching date,Built in (y),Type of ship,Sub-type of ship,LDT,USD/ton
China,Fujian Guohang Ocean Shipping (Group) Company Limited,Guoyuan 5,8401377,Panama ,,,Fujian Guohang Ocean Shipping (Group) Company Limited,Guohang Ocean Shipping (Hong Kong) Limited ,"Xinhui, China",2013-03-13 00:00:00,1985,Bulker,,,
China,Jiangsu Far East Shipping Company Limited,Fareast Star,8207226,Saint Vincent and the Grenadines ,,,Jiangsu Far East Shipping Company Limited,Fareast Star Shipping Limited ,"Xinhui, China",2013-01-17 00:00:00,1986,Bulker,,,
China,Qingdao Huiquan Shipping Company,Huikanghai,9039042,Panama ,,,Qingdao Huiquan Shipping Company,South Express Shipping Incorporated ,"Xinhui, China",2013-10-23 00:00:00,1994,Bulker,,22532,
China,Tianjin Hebei Shipping Company Limited,Hao Da,8325884,China ,,,Tianjin Hebei Shipping Company Limited,Hao Fa Shipping ,"Xinhui, China",2013-03-15 00:00:00,1984,Bulker,,,
China,Xinhe International Shipping Limited,Heng Tong 5,8111582,Panama ,,,Xinhe International Shipping Limited,Xinhe International Shipping Limited,"Xinhui, China",2013-02-28 00:00:00,1983,Bulker,,,
China,Zhu Shui Shipping Company Limited ,Zhushui 9,8308836,Panama ,,,Zhu Shui Shipping Company Limited ,Zhushui 9 Maritime Limited ,"Xinhui, China ",2013-04-30 00:00:00,1984,Bulker,,,
China,China Shipping (Group) Company ,Yu Long Shan,7701483,China ,,,Guangzhou Maritime Transport (Group) Company ,Guangzhou Maritime Transport (Group) Company ,"Zhangjiagang, China",2013-03-27 00:00:00,1980,Bulker,,,
China,Greatsources Shipping Consultants Limited,Kind Fountain,8216758,Panama ,,,Greatsources Shipping Consultants Limited,Kind Faith Shipping Company Limited ,"Zhangjiagang, China",2013-04-02 00:00:00,1983,Bulker,,,
China,Greatsources Shipping Consultants Limited,Wen Liu,8029519,Panama ,,,Greatsources Shipping Consultants Limited,Hong Kong Wenliu Shipping Company Limited ,"Zhangjiagang, China",2013-03-13 00:00:00,1981,Bulker,,,
China,Hongyuan Marine Company Limited,Jing Ye,8217374,Panama ,,,Hongyuan Marine Company Limited,Jingye Shipping Company Limited ,"Zhangjiagang, China",2013-01-16 00:00:00,1984,Bulker,,,
China,Nanjing Hua Hai Shipping Company Limited,Hua Jin Song,8302545,Panama ,,,Nanjing Hua Hai Shipping Company Limited,HK Huajinsong Shipping Company Limited ,"Zhangjiagang, China",2013-05-07 00:00:00,1988,Bulker,,,
China,Jiangsu Ocean Shipping Company Limited,J.Friend,8110291,Hong Kong ,,,Jiangsu Ocean Shipping Company Limited,J. Sister Shipping Company Limited ,"Zhangjiagang, China ",2013-11-19 00:00:00,1984,Bulker,,,
China,Kaili Shipping (HK) Limited,Kai Long,8204822,Panama ,,,Kaili Shipping (HK) Limited,Win Long Shipping Limited ,"Zhangjiagang, China ",2013-03-07 00:00:00,1985,Bulker,,,
China,Shanghai Shenyue Ship Management Company,Fortune Forest,8103470,Panama ,,,Shanghai Shenyue Ship Management Company ,Fortune Forest Shipping Company Limited ,"Zhangjiagang, China ",2013-12-30 00:00:00,1981,Bulker,,,
